Date,Top 10 tickers,Top 10 stock indices
2001-08-09,"GE, MSFT, XOM, PFE, C, WMT, INTC, TWX, AIG, IBM","9, 20, 31, 22, 6, 30, 12, 26, 1, 11"
2001-08-10,"GE, MSFT, XOM, PFE, C, WMT, INTC, TWX, AIG, IBM","9, 20, 31, 22, 6, 30, 12, 26, 1, 11"
2001-08-13,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, TWX, IBM","9, 20, 31, 22, 6, 30, 12, 1, 26, 11"
2001-08-14,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, IBM, TWX","9, 20, 31, 22, 6, 30, 12, 1, 11, 26"
2001-08-15,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, IBM, JNJ","9, 20, 31, 22, 6, 30, 12, 1, 11, 13"
2001-08-16,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, IBM, JNJ","9, 20, 31, 22, 6, 30, 12, 1, 11, 13"
2001-08-17,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, IBM, JNJ","9, 20, 31, 22, 6, 30, 12, 1, 11, 13"
2001-08-20,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, IBM, TWX","9, 20, 31, 22, 6, 30, 12, 1, 11, 26"
2001-08-21,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, IBM, TWX","9, 20, 31, 22, 6, 30, 1, 12, 11, 26"
2001-08-22,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, IBM, TWX","9, 20, 31, 22, 6, 30, 1, 12, 11, 26"
2001-08-23,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, IBM, JNJ","9, 20, 31, 22, 6, 30, 1, 12, 11, 13"
2001-08-24,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, IBM, TWX","9, 20, 31, 22, 6, 30, 1, 12, 11, 26"
2001-08-27,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, IBM, TWX","9, 20, 31, 22, 6, 30, 1, 12, 11, 26"
2001-08-28,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, IBM, TWX","9, 20, 31, 22, 6, 30, 1, 12, 11, 26"
2001-08-29,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, IBM, TWX","9, 20, 31, 22, 6, 30, 1, 12, 11, 26"
2001-08-30,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, IBM, JNJ","9, 20, 31, 22, 6, 30, 1, 12, 11, 13"
2001-08-31,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, IBM, JNJ","9, 20, 31, 22, 6, 30, 1, 12, 11, 13"
2001-09-04,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, IBM, JNJ","9, 20, 31, 22, 6, 30, 1, 12, 11, 13"
2001-09-05,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, IBM, JNJ","9, 20, 31, 22, 6, 30, 1, 12, 11, 13"
2001-09-06,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, JNJ, IBM","9, 20, 31, 22, 6, 30, 1, 12, 13, 11"
2001-09-07,"GE, MSFT, XOM, PFE, C, WMT, AIG, JNJ, INTC, IBM","9, 20, 31, 22, 6, 30, 1, 13, 12, 11"
2001-09-10,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, JNJ, IBM","9, 20, 31, 22, 6, 30, 1, 12, 13, 11"
2001-09-17,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, JNJ, IBM","9, 20, 31, 22, 6, 30, 1, 12, 13, 11"
2001-09-18,"GE, MSFT, XOM, PFE, C, WMT, AIG, JNJ, IBM, INTC","9, 20, 31, 22, 6, 30, 1, 13, 11, 12"
2001-09-19,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, INTC","9, 20, 31, 22, 30, 6, 1, 13, 11, 12"
2001-09-20,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, MRK","9, 20, 31, 22, 30, 6, 1, 13, 11, 19"
2001-09-21,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, T","9, 20, 31, 22, 30, 6, 1, 13, 11, 24"
2001-09-24,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, MRK","9, 20, 31, 22, 30, 6, 1, 13, 11, 19"
2001-09-25,"GE, MSFT, XOM, PFE, WMT, C, AIG, IBM, JNJ, T","9, 20, 31, 22, 30, 6, 1, 11, 13, 24"
2001-09-26,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, T","9, 20, 31, 22, 30, 6, 1, 13, 11, 24"
2001-09-27,"GE, MSFT, XOM, PFE, WMT, AIG, C, JNJ, T, IBM","9, 20, 31, 22, 30, 1, 6, 13, 24, 11"
2001-09-28,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, T","9, 20, 31, 22, 30, 6, 1, 13, 11, 24"
2001-10-01,"GE, MSFT, XOM, PFE, WMT, AIG, C, JNJ, IBM, T","9, 20, 31, 22, 30, 1, 6, 13, 11, 24"
2001-10-02,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, MRK","9, 20, 31, 22, 30, 6, 1, 13, 11, 19"
2001-10-03,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, T","9, 20, 31, 22, 30, 6, 1, 13, 11, 24"
2001-10-04,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, T","9, 20, 31, 22, 30, 6, 1, 13, 11, 24"
2001-10-05,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, T","9, 20, 31, 22, 30, 6, 1, 13, 11, 24"
2001-10-08,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, MRK","9, 20, 31, 22, 30, 6, 1, 13, 11, 19"
2001-10-09,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, MRK","9, 20, 31, 22, 30, 6, 1, 13, 11, 19"
2001-10-10,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, T","9, 20, 31, 22, 30, 6, 1, 13, 11, 24"
2001-10-11,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, T","9, 20, 31, 22, 30, 6, 1, 13, 11, 24"
2001-10-12,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, INTC","9, 20, 31, 22, 30, 6, 1, 13, 11, 12"
2001-10-15,"GE, MSFT, XOM, PFE, WMT, C, AIG, IBM, JNJ, INTC","9, 20, 31, 22, 30, 6, 1, 11, 13, 12"
2001-10-16,"GE, MSFT, XOM, PFE, WMT, C, AIG, IBM, JNJ, INTC","9, 20, 31, 22, 30, 6, 1, 11, 13, 12"
2001-10-17,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, INTC","9, 20, 31, 22, 30, 6, 1, 13, 11, 12"
2001-10-18,"GE, MSFT, XOM, PFE, C, WMT, AIG, JNJ, IBM, INTC","9, 20, 31, 22, 6, 30, 1, 13, 11, 12"
2001-10-19,"GE, MSFT, XOM, PFE, C, WMT, AIG, JNJ, IBM, INTC","9, 20, 31, 22, 6, 30, 1, 13, 11, 12"
2001-10-22,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, INTC","9, 20, 31, 22, 30, 6, 1, 13, 11, 12"
2001-10-23,"GE, MSFT, XOM, PFE, WMT, C, AIG, JNJ, IBM, INTC","9, 20, 31, 22, 30, 6, 1, 13, 11, 12"
2001-10-24,"GE, MSFT, XOM, PFE, C, WMT, AIG, JNJ, IBM, INTC","9, 20, 31, 22, 6, 30, 1, 13, 11, 12"
